,plate,class,fiberid,mjd,redshift,ra,dec,sdss_name,h_beta_flux,h_alpha_flux,oii_3726_flux,oii_3729_flux,oiii_4363_flux,oiii_4959_flux,oiii_5007_flux,sii_6717_flux,sii_6731_flux,nii_6548_flux,nii_6584_flux,rate_SII,rate_OII,rate_OIII,rate_NII
0,273,GALAXY,213,51957,0.0291895,157.61597,-0.96929878,1237648720147185827,332.9968,1001.429,437.7437,486.9385,7.534864,342.8829,1060.563,120.7478,86.35233,26.10592,78.74149,1.3983154826279731,0.8989712253190085,140.75409987492807,3.016231184344394
1,273,GALAXY,215,51957,0.1152097,157.55131,-0.84358889,1237648720147185887,1.31187,2.79459,3.546835,9.812165,3.16502,3.533351,3.160036,1.27476,0.5557688,1.986276,5.991066,2.293687590955088,0.361473232461949,0.998425286412092,3.016230372818279
2,273,GALAXY,218,51957,0.1305291,157.55443,-0.66117488,0,56.76338,220.3417,42.569,57.42338,8.09635,17.79547,55.3735,47.80486,30.03749,31.80827,95.9411,1.5915064807345753,0.7413182574763102,6.839316482118486,3.0162313134288663
3,273,GALAXY,219,51957,0.08578822,157.81639,-0.62996405,1237648720684122284,109.9969,507.3879,92.10806,138.3783,1.569406,13.94821,44.97055,87.21847,64.27713,60.14016,181.3966,1.3569129486646339,0.6656250293579268,28.654503678461786,3.016230751630857
4,273,GALAXY,221,51957,0.1073524,157.6643,-0.31043546,1237651800700551383,91.79651,318.0312,94.78167,126.9091,1.85933,28.05183,78.28992,55.45282,42.61365,27.25751,82.21493,1.3012924262530903,0.7468469164149774,42.10652224188283,3.016230389349577
5,273,GALAXY,224,51957,0.07396382,157.52936,-0.17619816,1237648721220927605,42.24524,168.1281,30.07688,25.14359,4.633204,3.345408,11.8059,35.78306,27.17922,19.46673,58.71615,1.3165594891979975,1.1962046788068053,2.5481070982413034,3.016230769112224
6,273,GALAXY,229,51957,0.09198466,157.68476,-0.1535754,1237648721220993128,5.02613,20.84436,11.98722,6.296988,0.3350697,0.6100733,6.694583,9.086537,7.241502,5.367098,16.18841,1.254786230812337,1.9036434562047762,19.97967288596969,3.016231490462816
7,273,GALAXY,235,51957,0.1958403,157.55296,-0.52378945,1237648720684056833,41.80608,182.2422,22.57925,29.01839,0.178038,1.998402,12.02767,32.30281,28.11048,21.93931,66.17401,1.1491376170026268,0.7781014039717572,67.55675754614184,3.01623022784217
8,273,GALAXY,243,51957,0.08776,157.40874,-0.9738417,1237648720147120415,9.699479,21.69415,5.722149,26.47602,0.1620426,1.183109,20.02821,12.77959,13.43031,8.629693,26.02915,0.9515484005953697,0.21612572433469987,123.59842411810227,3.0162312842415138
9,273,GALAXY,252,51957,0.09875324,157.43885,-1.0999529,1237654668665094371,6.763155,17.90713,4.406713,11.77933,2.220904,1.177633,5.210186,3.936344,1.842677,7.405807,22.33762,2.136209438767619,0.37410557306739856,2.345975332567279,3.0162303716529477
