plate,class,fiberid,mjd,redshift,ra,dec,sdss_name,h_beta_flux,h_alpha_flux,oii_3726_flux,oii_3729_flux,oiii_4363_flux,oiii_4959_flux,oiii_5007_flux,sii_6717_flux,sii_6731_flux,nii_6548_flux,nii_6584_flux,rate_SII,rate_OII,rate_OIII,rate_NII,T_e_SII_OII,N_e_SII_OII,T_e_SII_OIII,N_e_SII_OIII,T_e_OII_OIII,N_e_OII_OIII,T_e_SII_NII,N_e_SII_NII,T_e_OII_NII,N_e_OII_NII
273,GALAXY,213,51957,0.0291895,157.61597,-0.96929878,1237648720147185827,332.9968,1001.429,437.7437,486.9385,7.534864,342.8829,1060.563,120.7478,86.35233,26.10592,78.74149,1.3983154826279731,0.8989712253190085,140.75409987492807,3.016231184344394,10010.982997408682,311.247275213418,11843.930890861222,90.75582558041093,11832.12514085361,582.8705178445903,29999.99999999996,138200.22781744075,29999.999999999996,138349.6580729399
273,GALAXY,215,51957,0.1152097,157.55131,-0.84358889,1237648720147185887,1.31187,2.79459,3.546835,9.812165,3.16502,3.533351,3.160036,1.27476,0.5557688,1.986276,5.991066,2.293687590955088,0.361473232461949,0.998425286412092,3.016230372818279,10866.473347687057,243.58672675141517,29999.999999945892,999999.9999965258,29999.9999999177,999999.9999946433,29999.999999999924,137958.32964708837,29999.97135640885,138452.7450670778
273,GALAXY,218,51957,0.1305291,157.55443,-0.66117488,0,56.76338,220.3417,42.569,57.42338,8.09635,17.79547,55.3735,47.80486,30.03749,31.80827,95.9411,1.5915064807345753,0.7413182574763102,6.839316482118486,3.0162313134288663,10045.659886110485,315.81730956599887,29999.99999999997,848548.7099994356,29999.83925952844,848602.1046912324,29999.999999999996,138147.99433509188,29999.99999999996,138379.8461264147
273,GALAXY,219,51957,0.08578822,157.81639,-0.62996405,1237648720684122284,109.9969,507.3879,92.10806,138.3783,1.569406,13.94821,44.97055,87.21847,64.27713,60.14016,181.3966,1.3569129486646339,0.6656250293579268,28.654503678461786,3.016230751630857,9993.44069074152,518.9810181594358,28335.005850526675,206.480701105395,28159.435667966143,2136.0274661368253,29999.999999999996,138211.4479773855,29999.999999999996,138394.37942267145
273,GALAXY,221,51957,0.1073524,157.6643,-0.31043546,1237651800700551383,91.79651,318.0312,94.78167,126.9091,1.85933,28.05183,78.28992,55.45282,42.61365,27.25751,82.21493,1.3012924262530903,0.7468469164149774,42.10652224188283,3.016230389349577,10013.967982333117,489.49144370249655,21127.099343234444,263.6495213503407,21064.81984005757,1336.7295875910124,29999.999999999996,138226.5087253059,29999.999999999996,138378.84326081048
273,GALAXY,224,51957,0.07396382,157.52936,-0.17619816,1237648721220927605,42.24524,168.1281,30.07688,25.14359,4.633204,3.345408,11.8059,35.78306,27.17922,19.46673,58.71615,1.3165594891979975,1.1962046788068053,2.5481070982413034,3.016230769112224,9983.339648208703,172.7310643232388,29999.999999999996,999999.9999999999,29999.999999999996,999999.9999999999,29999.999999999996,138222.35748735588,29999.999999999996,138292.76350309045
273,GALAXY,229,51957,0.09198466,157.68476,-0.1535754,1237648721220993128,5.02613,20.84436,11.98722,6.296988,0.3350697,0.6100733,6.694583,9.086537,7.241502,5.367098,16.18841,1.254786230812337,1.9036434562047762,19.97967288596969,3.016231490462816,29999.99997331372,1.000000123594952,29999.999999999996,99028.37978804663,29999.999999999996,99012.22471378808,29999.999999999996,138239.01710090562,29999.999999999996,138157.30203761524
273,GALAXY,235,51957,0.1958403,157.55296,-0.52378945,1237648720684056833,41.80608,182.2422,22.57925,29.01839,0.178038,1.998402,12.02767,32.30281,28.11048,21.93931,66.17401,1.1491376170026268,0.7781014039717572,67.55675754614184,3.01623022784217,10003.543022018954,590.5838401704865,16131.471700424972,494.46117242900624,16110.492341781093,1041.0166555814392,29999.999999999996,138267.66387094598,29999.999999999996,138372.86646328383
273,GALAXY,243,51957,0.08776,157.40874,-0.9738417,1237648720147120415,9.699479,21.69415,5.722149,26.47602,0.1620426,1.183109,20.02821,12.77959,13.43031,8.629693,26.02915,0.9515484005953697,0.21612572433469987,123.59842411810227,3.0162312842415138,10026.36036468879,2567.2352664930186,12406.702473276093,941.2942308093598,9407.885660784075,213716.81693184486,29999.999999999996,138321.042580637,7810.440650502778,999999.9999666016
273,GALAXY,252,51957,0.09875324,157.43885,-1.0999529,1237654668665094371,6.763155,17.90713,4.406713,11.77933,2.220904,1.177633,5.210186,3.936344,1.842677,7.405807,22.33762,2.136209438767619,0.37410557306739856,2.345975332567279,3.0162303716529477,10187.167720123272,286.56811998594134,29999.999999999996,999999.9999999999,29999.999999999996,999999.9999999999,29999.999999999996,138000.8652238963,29999.98307125892,138450.2950555801
273,GALAXY,253,51957,0.1150828,157.52775,-0.83894234,1237654669202030843,15.0166,46.09453,51.53034,23.05462,0.09150504,5.138663,30.65024,31.16658,21.82845,11.42677,34.46579,1.427796293369433,2.2351415898418625,334.95685046419305,3.0162320585782334,29999.999726195998,1.0000007938562252,9021.94630137054,54.560619890097136,9022.798781474263,1.0000000000000002,29999.999999999996,138192.20420578116,29999.999999999996,138093.8404355789
273,QSO,255,51957,0.2586038,157.33622,-0.79651288,1237654669201899773,234.3934,837.8933,21.06761,38.96901,18.12108,49.46759,253.8989,20.35104,15.49252,73.18948,220.7564,1.3136042425635082,0.5406247169224981,14.011245466605743,3.0162312944428624,10045.763615546946,690.4312318259443,29999.999999999996,263185.20081573445,29999.999993525944,263208.18294924404,29999.999999999996,138223.12463023062,29999.99999999996,138418.29272947833
273,GALAXY,257,51957,0.1400914,157.42326,-1.0624136,1237654668665094415,17.75196,80.03245,18.9932,15.07177,1.796277,1.012012,3.35733,4.748318,8.385135,12.23773,36.91181,0.5662780623090744,1.26018377403583,1.8690491499919002,3.016230134183382,9988.896123819992,649.1534091756826,29999.99999736195,999999.9998400932,29999.999996053528,999999.9997565752,29999.999908592254,138425.35440901425,29999.999999999996,138280.55199681365
273,GALAXY,260,51957,0.03525358,157.32993,-0.69570955,1237651800163549406,40.20551,122.1839,80.41338,114.1276,1.442272,19.10737,61.88213,33.98354,21.04527,7.367787,22.22295,1.6147827991753017,0.7045918778630235,42.90600524727652,3.016231332420441,10130.090672880373,328.72707585858166,20884.3441219757,1.0000000000000002,20795.310262294723,1564.1229885503003,29999.999999999996,138141.70098277906,29999.999999999996,138386.87990805268
273,GALAXY,264,51957,0.08830596,157.50851,-0.62204583,1237648720683991154,17.36437,67.75166,59.78046,70.0638,5.760602,14.77101,22.96696,37.31001,29.41297,27.93289,84.25204,1.2684883573471157,0.8532289142181839,3.9869027577326124,3.0162306871934836,10004.29285987703,421.7608836088036,29999.99999858302,999999.9999143343,29999.99999786774,999999.9998684707,29999.999999999993,138235.36087995983,29999.999999999996,138358.44909294642
